TimeL,ChargeL,ChannelIDL,TimeR,ChargeR,ChannelIDR,DOI,NCD,delta_t,n1,n2,ChargeL_zscore,ChargeR_zscore
15544989543281.0,20.767334,79.0,15544989543624.0,23.88776,72.0,10.0,-0.0698783883424363,-343.0,-1.866099,0.9444589,-0.29077283178070945,1.1240150393428778
684927371640694.0,30.144062,78.0,684927371642183.0,19.12701,73.0,28.0,0.2236008179403931,-1489.0,-4.818429,0.2395699,0.5392452732940033,-0.3505773374942612
1275656892662165.0,29.73188,78.0,1275656892663590.0,20.660923,73.0,15.0,0.1800050098423777,-1425.0,-6.3443437,2.921,-0.7658943525344729,1.8050129611645458
1214049816852982.0,26.076454,102.0,1214049816854204.0,21.93576,97.0,15.0,0.0862425132071601,-1222.0,2.491547,1.3060993,0.5241868076243285,-0.6565905009056892
737133114133480.0,18.217018,103.0,737133114133649.0,23.575588,96.0,2.0,-0.1282181350452278,-169.0,5.6689215,1.4664048,-1.1087963563670873,1.4931995928949489
1546088850131910.0,26.902119,95.0,1546088850133111.0,18.00898,88.0,20.0,0.1980165081241943,-1201.0,11.554516,6.3801885,0.13523743616477046,-0.5952588602228921
262438894998287.0,23.987728,94.0,262438894998892.0,24.945145,89.0,10.0,-0.0195659265704672,-605.0,13.866176,10.521621,-1.3623838357495759,1.0197824389294985
141274432476884.0,15.459934,87.0,141274432477282.0,23.372768,80.0,2.0,-0.2037672784139512,-398.0,3.4260163,-1.5311819,1.708440767909219,-1.4184558828282923
493792860246686.0,17.561275,102.0,493792860247143.0,25.186993,97.0,5.0,-0.1783865956861691,-457.0,4.5592833,12.848493,-0.6806456592434406,1.2623722535179653
1524652559312701.0,20.368374,86.0,1524652559313702.0,26.471729,81.0,2.0,-0.1303019124445563,-1001.0,8.275976,13.151921,1.058643468228887,-1.0991317615618752
1014323643796580.0,18.546009,79.0,1014323643796850.0,21.652313,72.0,10.0,-0.0772744693174008,-270.0,-1.6317886,0.40474635,1.128184071430412,-1.7410519227890031
817522676616158.0,19.829559,103.0,817522676616510.0,21.411076,96.0,10.0,-0.0383485123349822,-352.0,8.443326,2.0574613,-1.4791953416158645,1.0530290636767363
1531490045949631.0,27.097309,86.0,1531490045951213.0,19.818424,81.0,15.0,0.1551480608860997,-1582.0,9.595876,2.5437164,0.20519875572521623,-0.16459542159183538
726338643996916.0,25.570267,79.0,726338643997579.0,20.207115,72.0,20.0,0.1171572459080337,-663.0,-0.82966393,5.0452037,-0.9151514939055333,1.7588632809815183
1197886730184025.0,24.941319,86.0,1197886730185388.0,21.817791,81.0,15.0,0.0668004160044962,-1363.0,10.087251,5.007207,-0.9727431972791705,1.451796530752725
567158071712299.0,25.555595,102.0,567158071713567.0,22.239639,97.0,15.0,0.0693783819533135,-1268.0,2.0569582,2.4540548,0.6107468639633221,-0.8356242211761636
545901564755703.0,30.627232,79.0,545901564757145.0,16.358299,72.0,28.0,0.3036878097642442,-1442.0,0.34754667,11.522481,0.386983303507042,-0.26631101276446273
1106147695667082.0,20.042656,103.0,1106147695667116.0,24.545624,96.0,2.0,-0.1009899462369932,-34.0,6.260291,-0.85404027,0.8557476410785333,0.37892424166262584
915671495104235.0,26.865585,86.0,915671495105156.0,19.873489,81.0,20.0,0.1495985136547634,-921.0,9.553999,2.612124,-1.4335187192386234,0.6729142718395588
589905174576038.0,19.525349,79.0,589905174576399.0,26.06926,72.0,2.0,-0.143523788086438,-361.0,-3.2397456,0.5837646,-1.2272791182194416,1.5549919764367157
584375656777391.0,25.777893,102.0,584375656778692.0,23.582634,97.0,15.0,0.0444739781647793,-1301.0,1.18576,2.8438559,-1.1858722495075973,0.8022609022426475
1270465096924526.0,16.411228,87.0,1270465096924768.0,24.828106,80.0,2.0,-0.2040983009085451,-242.0,2.6416497,-2.6289134,-0.5550028955299149,0.7898140788965814
1311500310493156.0,26.820438,95.0,1311500310494694.0,15.406311,88.0,25.0,0.2703056065244331,-1538.0,11.605483,8.826588,0.555217352172611,-0.04172722242322956
1383982265416212.0,29.736961,78.0,1383982265417277.0,20.521458,73.0,15.0,0.183362373575659,-1065.0,-6.3171206,2.822651,0.3275103645368876,-0.28299215964380603
1132519764698710.0,28.192997,95.0,1132519764699984.0,16.204018,88.0,20.0,0.2700402042794994,-1274.0,11.799591,8.843999,0.4101789838403721,-0.052186729717458434
235380382499216.0,17.517887,86.0,235380382499956.0,22.713764,81.0,5.0,-0.1291489876962792,-740.0,4.8119473,12.016881,1.1682805866116532,-1.064998770657276
321507946587270.0,20.519028,94.0,321507946587708.0,24.707893,89.0,5.0,-0.0926188408890359,-438.0,13.395044,13.673314,0.3161007993574782,-1.7317294515432398
